onset	duration	amount	Probability	choseAccept	RT	choseRight
17.649	4	65	0.55	1	1.527	1
27.682	4	82	0.48	0	1.59	0
37.715	4	55	0.44	1	1.069	1
48.765	4	36	0.59	1	1.73	1
56.798	4	25	0.91	1	1.113	1
66.831	4	81	0.1	1	1.592	1
75.864	4	46	0.21	0	1.119	0
82.914	4	78	0.26	1	1.381	1
91.947	4	49	0.43	0	0.987	0
98.98	4	35	0.73	1	1.786	1
110.013	4	46	0.48	1	1.185	1
120.062	4	24	0.91	1	0.96	1
132.095	4	52	0.41	1	1.327	1
143.128	4	52	0.47	1	0.941	1
153.161	4	33	0.62	1	1.06	1
161.194	4	31	0.79	1	0.907	1
173.227	4	64	0.34	0	1.21	0
194.277	4	76	0.43	1	1.407	1
208.31	4	49	0.71	1	0.902	1
216.359	4	84	0.25	1	1.685	1
223.409	4	71	0.19	1	1.603	1
234.442	4	62	0.18	1	1.106	1
243.475	4	83	0.52	1	1.264	1
254.508	4	75	0.24	1	1.103	1
262.541	4	58	0.62	1	1.078	1
274.574	4	46	0.77	1	1.213	1
283.607	4	49	0.44	1	1.331	1
288.657	4	40	0.71	1	1.209	1
294.69	4	83	0.28	1	1.728	1
308.723	4	41	0.63	1	1.271	1
