onset	duration	amount	Delay	choseAccept	RT	choseRight
14.75	4	62	180	0	2.03	0
19.816	4	31	74	0	1.655	0
34.85	4	28	123	0	1.243	0
50.882	4	25	176	0	1.803	0
60.931	4	50	41	1	3.316	1
69.964	4	41	174	0	1.322	0
77.997	4	32	57	0	2.03	0
86.047	4	45	157	0	1.069	0
99.097	4	67	23	1	1.956	1
116.129	4	36	140	0	1.05	0
126.179	4	64	89	0	2.845	0
134.212	4	71	76	1	3.25	1
142.261	4	58	73	0	1.769	0
154.311	4	41	129	0	1.231	0
163.361	4	82	74	1	2.779	1
172.394	4	24	125	0	1.173	0
181.426	4	69	172	0	0.962	0
191.459	4	43	19	1	2.985	1
201.509	4	76	161	0	1.261	0
212.542	4	74	52	1	3.38	1
222.575	4	23	134	0	1.082	0
229.625	4	27	142	0	1.344	0
239.657	4	25	108	0	0.902	0
244.724	4	58	55	0	2.502	0
249.79	4	40	159	0	1.057	0
264.823	4	48	128	0	1.296	0
272.873	4	34	176	0	1.035	0
282.922	4	52	139	0	1.841	0
298.955	4	63	37	1	3.388	1
308.989	4	83	105	0	3.547	0
