onset	duration	amount	Probability	choseAccept	RT	choseRight
15.914	4	76	0.43	1	1.747	1
24.947	4	58	0.42	1	1.446	1
32.98	4	78	0.42	1	1.731	1
43.013	4	83	0.54	1	0.985	1
57.079	4	58	0.62	1	1.504	1
65.112	4	66	0.25	1	2.221	1
75.145	4	49	0.71	1	0.78	1
81.178	4	52	0.47	1	1.06	1
87.211	4	40	0.66	1	1.594	1
101.244	4	33	0.62	1	1.239	1
110.277	4	74	0.39	0	1.268	0
122.327	4	83	0.28	0	1.528	0
132.359	4	53	0.54	1	1.566	1
140.392	4	57	0.51	1	1.196	1
147.426	4	75	0.24	0	1.139	0
154.459	4	40	0.79	1	1.573	1
163.492	4	68	0.64	1	0.915	1
170.525	4	77	0.39	1	1.511	1
182.557	4	58	0.45	1	1.73	1
193.59	4	23	0.96	1	1.904	1
205.623	4	44	0.44	0	2.253	0
210.673	4	72	0.4	1	1.358	1
219.706	4	25	0.89	0	2.463	0
232.755	4	58	0.46	1	1.285	1
247.805	4	35	0.78	1	1.942	1
266.837	4	71	0.19	0	1.809	0
275.87	4	82	0.48	1	1.233	1
286.903	4	62	0.18	0	0.944	0
297.936	4	77	0.38	1	1.089	1
308.969	4	25	0.91	1	1.344	1
