onset	duration	amount	Probability	choseAccept	RT	choseRight
14.67	4	35	0.78	0	2.309	1
22.703	4	72	0.4	0	2.157	1
37.736	4	58	0.62	1	1.557	0
43.769	4	73	0.74	1	1.532	0
53.818	4	82	0.31	0	1.924	1
62.851	4	31	0.79	0	2.1	1
72.901	4	44	0.44	0	1.388	1
77.95	4	83	0.54	1	3.945	0
83	4	75	0.24	0	0.937	1
88.05	4	63	0.57	0	2.077	1
103.099	4	21	0.97	0	1.4	1
110.149	4	53	0.54	0	1.917	1
120.215	4	54	0.52	0	1.202	1
127.248	4	23	0.83	0	1.472	1
135.281	4	21	0.93	0	1.182	1
141.331	4	42	0.58	0	1.913	1
151.397	4	82	0.09	0	1.224	1
163.446	4	25	0.91	0	2.015	1
171.496	4	46	0.21	0	1.21	1
193.545	4	72	0.33	0	0.958	1
201.578	4	33	0.8	0	1.819	1
211.627	4	41	0.6	n/a	n/a	n/a
218.677	4	46	0.77	0	1.336	1
235.726	4	35	0.73	1	1.691	0
245.759	4	64	0.33	0	1.462	1
258.808	4	64	0.34	0	0.97	1
269.841	4	72	0.5	0	1.957	1
280.874	4	57	0.3	0	1.094	1
293.923	4	32	0.57	0	2.008	1
308.973	4	78	0.26	0	0.918	1
