onset	duration	amount	Probability	choseAccept	RT	choseRight
19.05	4	71	0.36	0	1.645	1
24.099	4	40	0.66	1	1.556	0
34.149	4	56	0.68	1	1.121	0
43.182	4	24	0.91	1	2.392	0
50.215	4	84	0.25	0	1.687	1
68.247	4	63	0.57	1	1.646	0
79.28	4	71	0.19	0	1.245	1
89.313	4	77	0.38	0	1.115	1
104.362	4	25	0.91	0	1.945	1
113.411	4	28	0.63	1	2.072	0
126.444	4	78	0.42	0	1.527	1
136.477	4	29	0.83	0	2.789	1
153.509	4	33	0.91	1	2.5	0
158.575	4	46	0.33	0	1.01	1
172.625	4	56	0.44	0	1.224	1
180.658	4	28	0.89	0	2.214	1
186.707	4	83	0.52	1	1.629	0
195.74	4	73	0.74	1	1.476	0
204.773	4	82	0.47	0	1.154	1
212.806	4	50	0.48	0	0.985	1
220.855	4	57	0.58	1	1.784	0
229.905	4	72	0.5	1	2.149	0
238.938	4	81	0.1	0	1.252	1
245.987	4	25	0.89	0	2.211	1
252.02	4	83	0.32	0	1.193	1
264.053	4	21	0.97	1	1.792	0
274.086	4	83	0.3	0	1.51	1
286.119	4	35	0.78	1	1.197	0
299.151	4	46	0.21	0	1.468	1
309.201	4	54	0.52	1	1.714	0
