onset	duration	amount	Delay	choseAccept	RT	choseRight
17.045	4	23	110	1	1.929	0
27.078	4	24	87	n/a	n/a	n/a
36.145	4	55	107	0	2.165	1
47.211	4	29	75	n/a	n/a	n/a
61.261	4	78	129	0	2.787	1
76.294	4	41	27	0	2.673	1
82.327	4	76	161	0	2.826	1
99.376	4	67	41	0	2.941	1
107.409	4	24	89	0	2.038	1
118.442	4	32	74	0	1.869	1
123.509	4	80	39	n/a	n/a	n/a
128.575	4	54	126	0	2.428	1
141.608	4	23	42	0	3.198	1
158.658	4	31	76	n/a	n/a	n/a
166.707	4	23	134	0	1.186	1
174.757	4	75	60	0	2.979	1
187.823	4	73	44	0	2.923	1
197.856	4	45	72	n/a	n/a	n/a
203.906	4	60	124	1	1.586	0
214.956	4	25	70	0	1.27	1
223.006	4	67	23	0	3.264	1
232.055	4	23	61	n/a	n/a	n/a
238.105	4	79	92	n/a	n/a	n/a
248.155	4	29	44	0	3.061	1
257.205	4	44	143	0	2.066	1
264.254	4	74	121	0	2.916	1
275.304	4	71	88	0	3.425	1
285.337	4	64	89	n/a	n/a	n/a
295.387	4	24	38	0	3.253	1
306.436	4	69	172	0	1.284	1
