onset	duration	amount	Delay	choseAccept	RT	choseRight
19.659	4	31	74	0	1.452	1
29.708	4	71	176	0	1.891	1
38.741	4	66	58	1	1.857	0
49.774	4	41	174	0	1.128	1
63.807	4	43	38	1	2.598	0
78.84	4	39	161	0	1.157	1
84.873	4	83	105	1	1.876	0
101.905	4	45	26	1	1.883	0
109.955	4	45	72	1	2.209	0
120.988	4	56	93	1	2.472	0
126.037	4	82	74	1	2.126	0
131.087	4	30	23	0	2.204	1
144.137	4	58	53	1	2.29	0
161.169	4	65	159	0	2.353	1
169.219	4	25	108	0	1.111	1
177.252	4	50	41	1	1.47	0
190.318	4	64	89	1	1.867	0
200.367	4	76	161	1	2.33	0
206.4	4	33	78	0	2.689	1
217.433	4	77	142	0	2.455	1
225.466	4	45	157	0	1.23	1
234.516	4	80	145	1	2.22	0
240.566	4	32	74	0	1.09	1
250.598	4	79	92	1	1.617	0
259.648	4	23	77	0	1.719	1
266.698	4	41	55	0	2.157	1
277.73	4	67	41	1	1.364	0
287.763	4	71	76	1	2.227	0
297.796	4	60	124	0	2.538	1
308.846	4	28	132	0	1.127	1
