onset	duration	amount	Delay	choseAccept	RT	choseRight
15.086	4	58	53	0	1.173	0
20.132	4	72	95	1	0.994	1
35.166	4	34	176	1	2.415	1
51.21	4	28	123	0	2.232	0
61.256	4	43	19	1	0.959	1
70.279	4	41	174	1	1.48	1
78.301	4	34	43	1	0.834	1
86.347	4	65	159	1	0.911	1
99.381	4	82	74	1	0.859	1
116.426	4	52	139	1	1.42	1
126.46	4	39	104	1	1.14	1
134.494	4	24	38	0	1.84	0
142.517	4	61	141	1	0.977	1
154.562	4	31	74	1	2.176	1
163.596	4	54	126	1	0.903	1
172.618	4	24	125	0	1.184	0
181.664	4	67	23	1	0.817	1
191.686	4	45	26	1	0.727	1
201.709	4	29	58	1	0.952	1
212.754	4	50	129	1	1.078	1
222.788	4	41	27	1	0.784	1
229.811	4	33	163	1	1.756	1
239.857	4	70	108	1	1.035	1
244.903	4	42	145	1	0.889	1
249.938	4	25	74	0	1.476	0
264.983	4	85	129	1	1.439	1
273.017	4	58	73	1	1.245	1
283.051	4	24	89	0	1.683	0
299.096	4	75	41	1	0.918	1
309.142	4	49	172	1	1.367	1
