onset	duration	amount	Delay	choseAccept	RT	choseRight
14.752	4	58	53	1	1.084	1
22.801	4	71	88	1	1.251	1
37.867	4	42	145	1	2.386	1
43.917	4	77	142	1	1.6	1
53.984	4	29	58	1	2.442	1
63.017	4	54	22	1	0.984	1
73.066	4	85	129	1	1.306	1
78.116	4	27	91	0	2.439	0
83.166	4	58	55	1	1.395	1
88.216	4	58	36	1	0.993	1
103.249	4	40	159	1	2.63	1
110.282	4	60	124	1	1.442	1
120.315	4	61	141	1	1.778	1
127.348	4	23	176	0	1.343	0
135.398	4	35	171	1	2.495	1
141.431	4	58	72	1	1.378	1
151.464	4	23	61	0	1.348	0
163.513	4	67	23	1	1.148	1
171.547	4	66	145	1	2.149	1
193.613	4	75	41	1	0.998	1
201.646	4	78	129	1	1.628	1
211.695	4	48	128	1	2.119	1
218.745	4	80	39	1	1.205	1
235.778	4	52	139	1	1.676	1
245.811	4	70	108	1	1.466	1
258.86	4	25	141	0	1.321	0
269.893	4	39	95	1	1.621	1
280.926	4	23	134	0	1.015	0
293.976	4	24	89	0	2.095	0
309.026	4	25	70	0	2.171	0
