onset	duration	amount	Probability	choseAccept	RT	choseRight
15.818	4	58	0.46	0	2.149	1
24.852	4	21	0.97	1	0.989	0
32.887	4	30	0.7	n/a	n/a	n/a
42.932	4	33	0.62	n/a	n/a	n/a
56.978	4	54	0.52	1	1.571	0
65.012	4	77	0.38	0	2.301	1
75.058	4	76	0.43	1	1.377	0
81.092	4	63	0.57	n/a	n/a	n/a
87.127	4	77	0.43	1	0.712	0
101.16	4	32	0.57	0	1.093	1
110.206	4	75	0.24	0	0.918	1
122.252	4	85	0.59	1	1.481	0
132.286	4	50	0.57	1	1.031	0
140.308	4	56	0.44	n/a	n/a	n/a
147.343	4	62	0.18	0	0.835	1
154.377	4	58	0.83	1	0.652	0
163.399	4	57	0.3	0	0.623	1
170.434	4	35	0.78	1	0.684	0
182.479	4	53	0.48	0	0.705	1
193.513	4	41	0.63	1	1.16	0
205.547	4	40	0.79	1	0.951	0
210.593	4	47	0.72	1	1.448	0
219.639	4	29	0.83	0	1.993	1
232.673	4	25	0.89	0	1.519	1
247.718	4	23	0.96	0	2.416	1
266.751	4	66	0.25	0	1.539	1
275.785	4	40	0.39	0	1.15	1
286.83	4	49	0.56	0	1.463	1
297.853	4	42	0.6	1	1.153	0
308.898	4	82	0.29	0	0.729	1
