onset	duration	amount	Probability	choseAccept	RT	choseRight
15.541	4	24	0.96	1	1.265	1
23.591	4	70	0.61	1	0.911	1
38.64	4	82	0.48	1	1.378	1
44.673	4	83	0.3	0	1.028	0
54.739	4	46	0.33	0	1.479	0
63.789	4	40	0.79	1	0.701	1
73.838	4	24	0.91	0	1.152	0
78.889	4	75	0.24	0	1.199	0
83.955	4	72	0.33	0	0.852	0
89.021	4	21	0.93	1	1.038	1
104.07	4	72	0.4	0	1.398	0
111.12	4	53	0.48	1	0.715	1
121.17	4	33	0.62	0	1.387	0
128.203	4	35	0.78	1	1.081	1
136.252	4	23	0.96	1	0.826	1
142.285	4	56	0.44	1	1.113	1
152.335	4	85	0.59	1	0.854	1
164.368	4	70	0.39	0	0.991	0
172.401	4	28	0.63	0	1.368	0
194.466	4	40	0.66	1	1.024	1
202.499	4	58	0.46	1	1.43	1
212.532	4	71	0.19	0	0.776	0
219.565	4	35	0.7	1	1.011	1
236.615	4	60	0.51	1	1.271	1
246.647	4	76	0.26	0	0.837	0
259.68	4	22	0.98	1	0.863	1
270.713	4	41	0.6	1	0.991	1
281.763	4	21	0.97	1	0.983	1
294.812	4	50	0.57	1	1.349	1
309.861	4	45	0.37	0	0.889	0
