onset	duration	amount	Delay	choseAccept	RT	choseRight
17.964	4	44	143	0	1.007	1
27.997	4	85	129	0	0.905	1
38.03	4	39	104	0	0.818	1
49.08	4	65	156	0	0.808	1
57.113	4	42	145	0	0.784	1
67.179	4	36	114	0	1.229	1
76.229	4	54	23	1	1.265	0
83.279	4	65	137	0	1.179	1
92.329	4	24	139	0	0.941	1
99.362	4	34	176	0	1.405	1
110.395	4	78	129	0	1.147	1
120.445	4	70	108	0	0.742	1
132.478	4	56	172	0	0.846	1
143.527	4	49	172	0	0.624	1
153.56	4	23	134	0	0.788	1
161.593	4	80	39	1	1.663	0
173.643	4	28	59	1	1.88	0
194.676	4	24	87	0	1.107	1
208.709	4	23	77	0	1.134	1
216.759	4	50	129	0	0.787	1
223.792	4	33	78	0	0.947	1
234.841	4	50	41	1	2.411	0
243.874	4	29	58	0	1.039	1
254.908	4	28	123	0	0.953	1
262.957	4	25	74	0	1.149	1
275.024	4	50	59	0	1.741	1
284.057	4	69	172	0	0.98	1
289.123	4	22	21	0	1.32	1
295.157	4	45	26	1	2.935	0
309.206	4	23	176	0	0.739	1
