onset	duration	amount	Delay	choseAccept	RT	choseRight
15.914	4	78	108	1	1.708	1
22.947	4	81	58	1	0.8	1
33.98	4	29	58	0	0.89	0
42.013	4	44	92	1	1.511	1
51.046	4	27	91	0	1.044	0
58.08	4	28	132	0	0.937	0
70.129	4	43	19	1	1.908	1
78.162	4	27	142	0	1.714	0
97.212	4	39	161	1	2.393	1
102.262	4	43	38	1	1.225	1
111.295	4	67	103	1	1.437	1
122.344	4	39	95	1	1.395	1
133.377	4	55	163	1	1.516	1
142.411	4	30	36	0	1.225	0
149.444	4	45	107	1	1.328	1
158.477	4	27	130	0	1.041	0
165.51	4	23	176	0	1.078	0
178.543	4	40	159	1	0.823	1
195.576	4	33	78	1	2.033	1
203.625	4	23	42	0	1.296	0
209.659	4	25	141	0	0.712	0
232.691	4	39	104	1	1.673	1
240.724	4	70	108	1	1.151	1
248.774	4	28	163	0	0.904	0
257.808	4	28	123	0	0.97	0
275.857	4	23	134	0	2.111	0
280.907	4	25	74	0	0.723	0
288.94	4	60	124	1	0.811	1
297.973	4	67	41	1	1.01	1
309.006	4	73	44	1	0.708	1
