onset	duration	amount	Delay	choseAccept	RT	choseRight
15	4	27	142	0	2.336	1
24.05	4	43	120	0	1.287	1
32.084	4	66	71	0	1.737	1
42.117	4	41	55	0	1.62	1
56.166	4	67	23	1	1.517	0
64.216	4	71	76	1	1.654	0
74.249	4	42	145	0	1.332	1
80.299	4	49	140	0	3.547	1
86.349	4	24	89	0	1.343	1
100.382	4	24	87	0	2.895	1
109.432	4	30	23	1	1.17	0
121.498	4	28	123	0	1.467	1
131.548	4	77	142	0	1.208	1
139.581	4	54	23	1	1.152	0
146.631	4	58	36	1	1.548	0
153.664	4	39	95	0	1.427	1
162.697	4	58	55	1	2.239	0
169.73	4	78	108	0	1.107	1
181.763	4	24	125	n/a	n/a	n/a
192.813	4	25	108	0	1.563	1
204.863	4	66	58	1	0.99	0
209.913	4	79	92	1	1.355	0
218.946	4	62	180	0	0.904	1
231.979	4	55	107	0	1.326	1
247.028	4	39	104	0	0.976	1
266.061	4	52	139	0	1.038	1
275.094	4	60	124	0	0.941	1
286.127	4	27	130	0	1.215	1
297.177	4	66	145	0	1.055	1
308.21	4	33	163	0	1.035	1
