onset	duration	amount	Delay	choseAccept	RT	choseRight
15.528	4	54	23	1	1.104	0
22.562	4	31	76	0	1.502	1
33.611	4	77	24	1	1.1	0
41.661	4	55	163	1	1.386	0
50.711	4	75	60	1	1.152	0
57.761	4	24	87	0	1.214	1
69.81	4	74	52	1	1.221	0
77.843	4	71	176	1	1.404	0
96.893	4	34	176	0	1.305	1
101.943	4	22	27	0	1.007	1
110.976	4	30	36	0	1.726	1
122.009	4	80	145	1	1.189	0
133.042	4	66	58	1	1.42	0
142.092	4	65	137	1	1.402	0
149.141	4	28	123	0	0.857	1
158.174	4	44	92	0	1.711	1
165.208	4	31	74	0	1.269	1
178.257	4	64	89	1	1.044	0
195.29	4	41	174	0	2.251	1
203.34	4	71	76	1	1.169	0
209.39	4	34	43	0	1.335	1
232.439	4	58	72	1	1.021	0
240.472	4	55	107	1	1.116	0
248.505	4	35	171	0	1.011	1
257.538	4	29	58	0	0.898	1
275.604	4	66	71	1	1.087	0
280.671	4	74	121	1	1.252	0
288.721	4	50	129	1	0.706	0
297.754	4	75	41	1	0.761	0
308.787	4	39	95	1	2.28	0
