onset	duration	amount	Probability	choseAccept	RT	choseRight
16.562	4	44	0.44	0	2.223	0
22.595	4	50	0.48	0	3.026	0
38.628	4	50	0.39	0	1.562	0
45.678	4	58	0.62	1	1.211	1
57.727	4	46	0.33	0	1.519	0
71.776	4	70	0.61	1	1.315	1
79.826	4	49	0.43	0	1.014	0
86.875	4	29	0.83	1	1.235	1
94.925	4	39	0.49	0	1.003	0
107.957	4	78	0.26	0	1.039	0
117.99	4	40	0.79	1	1.812	1
138.039	4	61	0.5	0	1.571	0
148.072	4	31	0.61	1	2.555	1
157.105	4	77	0.38	0	1.565	0
170.154	4	28	0.89	1	1.482	1
185.203	4	49	0.44	0	2.002	0
196.236	4	72	0.33	0	0.738	0
205.269	4	24	0.91	1	1.932	1
213.318	4	82	0.48	0	2.022	0
219.351	4	79	0.45	0	0.957	0
231.384	4	54	0.52	0	1.079	0
238.433	4	28	0.63	1	1.18	1
245.466	4	22	0.89	1	1.999	1
255.499	4	68	0.64	1	0.891	1
263.549	4	61	0.67	1	2.363	1
272.581	4	72	0.34	0	1.193	0
280.614	4	36	0.59	1	1.303	1
285.664	4	41	0.6	1	1.455	1
296.697	4	32	0.57	1	1.676	1
307.746	4	46	0.48	0	0.909	0
