onset	duration	amount	Probability	choseAccept	RT	choseRight
17.194	4	79	0.49	0	1.899	0
23.244	4	24	0.91	0	2.346	0
39.31	4	22	0.96	1	1.561	1
46.343	4	21	0.93	0	1.672	0
58.392	4	52	0.47	0	0.979	0
72.458	4	58	0.62	1	2.419	1
80.508	4	78	0.42	0	0.78	0
87.558	4	31	0.61	0	1.403	0
95.607	4	35	0.73	1	1.723	1
108.64	4	82	0.31	0	0.752	0
118.689	4	84	0.25	0	1.83	0
138.755	4	22	0.89	0	1.821	0
148.788	4	57	0.51	0	0.767	0
157.838	4	83	0.3	0	0.705	0
170.871	4	61	0.5	0	1.172	0
185.903	4	74	0.39	0	0.661	0
196.953	4	64	0.33	0	1.43	0
206.002	4	28	0.63	0	0.563	0
214.052	4	78	0.26	0	0.637	0
220.102	4	72	0.33	0	0.587	0
232.135	4	82	0.25	0	0.629	0
239.184	4	22	0.98	0	1.242	0
246.217	4	41	0.6	0	1.382	0
256.283	4	33	0.8	1	1.285	1
264.333	4	76	0.26	0	0.625	0
273.366	4	25	0.91	1	1.311	1
281.399	4	68	0.64	0	1.311	0
286.465	4	73	0.74	1	1.33	1
297.498	4	83	0.28	0	0.801	0
308.564	4	79	0.45	0	0.781	0
