onset	duration	amount	Probability	choseAccept	RT	choseRight
12.027	4	79	0.45	1	3.851	1
20.077	4	58	0.83	1	2.416	1
35.11	4	57	0.3	0	2.476	0
41.16	4	50	0.39	0	3.094	0
51.193	4	75	0.24	0	3.291	0
60.226	4	52	0.41	0	3.191	0
70.259	4	33	0.62	1	3.607	1
75.309	4	52	0.47	1	2.835	1
80.36	4	21	0.96	0	3.646	0
85.426	4	76	0.43	1	2.281	1
100.459	4	31	0.61	0	3.271	0
107.492	4	46	0.48	1	2.638	1
117.525	4	79	0.33	1	2.343	1
124.558	4	29	0.83	0	2.853	0
132.592	4	63	0.27	0	2.06	0
138.625	4	77	0.38	1	3.016	1
148.658	4	83	0.3	1	2.643	1
160.691	4	22	0.96	0	2.909	0
168.724	4	22	0.98	1	2.905	1
190.757	4	39	0.49	0	2.98	0
198.807	4	25	0.89	n/a	n/a	n/a
208.857	4	71	0.36	1	2.222	1
215.89	4	40	0.79	1	2.522	1
232.923	4	78	0.42	1	1.839	1
242.957	4	46	0.77	1	1.35	1
256.006	4	43	0.69	1	1.18	1
267.04	4	70	0.39	1	2.333	1
278.089	4	58	0.42	1	2.38	1
291.122	4	68	0.64	1	1.813	1
306.156	4	42	0.58	1	1.957	1
