onset	duration	amount	Probability	choseAccept	RT	choseRight
17.049	4	24	0.91	0	1.184	1
27.094	4	83	0.52	1	1.12	0
36.117	4	58	0.83	1	1.23	0
47.151	4	50	0.57	1	0.853	0
61.184	4	49	0.51	1	1.116	0
76.218	4	76	0.44	1	0.749	0
82.24	4	36	0.59	0	1.755	1
99.285	4	79	0.49	1	1.145	0
107.319	4	82	0.31	1	0.626	0
118.353	4	54	0.52	1	0.471	0
123.4	4	50	0.48	1	0.555	0
128.446	4	61	0.67	1	0.54	0
141.491	4	82	0.47	1	0.555	0
158.525	4	55	0.44	1	0.641	0
166.547	4	40	0.39	1	1.112	0
174.57	4	28	0.89	1	2.155	0
187.603	4	83	0.32	1	1.364	0
197.649	4	78	0.26	1	1.213	0
203.684	4	75	0.48	1	1.272	0
214.717	4	63	0.27	1	0.991	0
222.74	4	35	0.7	1	1.627	0
231.774	4	70	0.39	1	1.293	0
237.809	4	70	0.34	1	0.836	0
247.854	4	56	0.49	1	1.334	0
256.888	4	35	0.73	1	1.668	0
263.911	4	82	0.09	0	2.615	1
274.945	4	65	0.55	1	0.643	0
284.979	4	77	0.43	1	0.849	0
295.013	4	49	0.44	1	0.695	0
306.047	4	32	0.57	1	1.111	0
