onset	duration	amount	Delay	choseAccept	RT	choseRight
14.757	4	77	161	1	1.696	0
19.807	4	44	92	0	3.112	1
34.84	4	23	134	0	1.078	1
50.872	4	24	139	0	1.089	1
60.905	4	58	72	1	1.934	0
69.955	4	74	121	1	1.722	0
77.988	4	82	74	1	1.42	0
86.037	4	24	87	0	1.46	1
99.07	4	29	44	1	2.036	0
116.12	4	45	107	0	1.784	1
126.169	4	23	61	0	1.507	1
134.202	4	22	21	1	2.516	0
142.235	4	61	141	0	1.929	1
154.268	4	78	129	0	1.614	1
163.318	4	31	76	0	1.901	1
172.367	4	56	172	0	1.656	1
181.4	4	41	129	0	1.225	1
191.433	4	52	139	0	1.485	1
201.483	4	66	71	1	1.913	0
212.516	4	23	42	0	2.135	1
222.565	4	25	176	0	1.038	1
229.599	4	64	89	1	1.706	0
239.648	4	33	78	0	1.629	1
244.714	4	39	104	0	0.845	1
249.764	4	66	145	0	1.129	1
264.814	4	43	38	1	1.534	0
272.863	4	23	176	0	1.008	1
282.896	4	45	26	1	1.241	0
298.929	4	62	180	0	1.978	1
308.962	4	36	140	0	1.086	1
