onset	duration	amount	Probability	choseAccept	RT	choseRight
15.75	4	77	0.39	0	1.545	0
22.8	4	40	0.66	1	0.904	1
33.833	4	82	0.31	0	0.905	0
41.866	4	31	0.79	1	0.958	1
50.899	4	22	0.89	1	1.34	1
57.932	4	46	0.33	0	0.841	0
69.965	4	49	0.44	0	1.332	0
78.014	4	49	0.51	1	1.254	1
97.064	4	53	0.48	1	2.297	1
102.114	4	46	0.48	1	2.752	1
111.147	4	61	0.67	1	0.949	1
122.196	4	39	0.3	0	1.093	0
133.229	4	58	0.46	1	1.783	1
142.279	4	49	0.43	0	2.262	0
149.329	4	58	0.45	1	2.416	1
158.378	4	77	0.38	0	1.412	0
165.428	4	29	0.83	1	1.564	1
178.461	4	58	0.62	1	1.767	1
195.527	4	58	0.83	1	1.679	1
203.56	4	28	0.63	0	2.346	0
209.61	4	57	0.51	1	1.585	1
232.659	4	60	0.51	1	1.653	1
240.692	4	82	0.09	0	1.462	0
248.742	4	25	0.89	1	2.226	1
257.791	4	50	0.57	1	1.638	1
275.841	4	82	0.47	1	2.219	1
280.891	4	82	0.29	0	1.296	0
288.94	4	42	0.58	1	2.054	1
297.973	4	28	0.89	1	1.882	1
309.023	4	76	0.43	1	2.348	1
