onset	duration	amount	Delay	choseAccept	RT	choseRight
15.898	4	56	93	1	0.934	1
24.947	4	39	104	1	1.078	1
32.981	4	67	41	1	0.673	1
43.014	4	70	108	1	0.877	1
57.047	4	39	161	1	1.735	1
65.096	4	42	145	1	0.784	1
75.146	4	22	27	1	2.784	1
81.196	4	64	89	1	0.792	1
87.229	4	80	39	1	0.816	1
101.262	4	28	123	1	0.969	1
110.312	4	85	129	1	0.653	1
122.361	4	25	74	1	1.281	1
132.394	4	36	140	1	0.767	1
140.444	4	23	110	0	1.245	0
147.477	4	54	126	1	0.776	1
154.51	4	24	89	1	0.877	1
163.544	4	30	36	1	1.271	1
170.577	4	74	121	1	2.168	1
182.626	4	75	41	1	0.687	1
193.676	4	31	76	1	1.268	1
205.726	4	78	108	1	0.842	1
210.776	4	67	23	1	0.71	1
219.809	4	34	176	1	0.679	1
232.842	4	27	130	1	1.855	1
247.875	4	71	76	1	0.704	1
266.925	4	43	38	1	1.813	1
275.957	4	43	120	1	2.835	1
287.007	4	41	174	1	1.703	1
298.056	4	31	74	1	1.021	1
309.09	4	80	145	1	0.978	1
