onset	duration	amount	Delay	choseAccept	RT	choseRight
15.402	4	66	58	1	2.05	0
22.469	4	45	157	0	2.236	1
33.518	4	24	87	0	1.871	1
41.551	4	52	139	0	2.813	1
50.601	4	80	39	1	1.737	0
57.634	4	54	22	1	1.662	0
69.667	4	25	176	0	1.159	1
77.7	4	48	128	0	1.888	1
96.749	4	49	172	0	2.093	1
101.798	4	39	95	0	2.797	1
110.865	4	55	163	0	1.178	1
121.914	4	41	174	0	1.568	1
132.964	4	50	59	1	0.922	0
141.997	4	23	77	0	1.116	1
149.046	4	58	73	1	2.196	0
158.079	4	75	41	1	1.402	0
165.146	4	45	72	0	2.707	1
178.178	4	54	126	0	1.281	1
195.244	4	36	140	0	1.963	1
203.294	4	22	21	1	1.595	0
209.327	4	72	95	1	1.465	0
232.359	4	77	24	1	1.072	0
240.392	4	78	129	1	1.914	0
248.442	4	24	89	0	1.326	1
257.475	4	63	37	1	1.485	0
275.541	4	22	27	0	1.665	1
280.607	4	73	44	1	1.803	0
288.674	4	45	107	0	1.431	1
297.723	4	40	159	0	1.018	1
308.773	4	81	58	1	1.21	0
